std,Y,n,tissue
697,3.6054475,2,LYMPH
A3KAW,4.1454935,2,LYMPH
A4FUK,4.1847925,2,LYMPH
A549,4.6312619999999995,2,LUNG
ABC1,5.42182,1,LUNG
ALLSIL,4.479151,1,LYMPH
AMO1,4.5461694999999995,2,LYMPH
BEN,2.4929769999999998,2,LUNG
BL41,3.565072,2,LYMPH
BV173,4.150822,2,LYMPH
CA46,5.2306225,2,LYMPH
CAL12T,4.6177375000000005,2,LUNG
CALU3,5.904967,2,LUNG
CALU6,5.377549,2,LUNG
CHAGOK1,3.1214505,2,LUNG
CMK,4.15376,1,LYMPH
CMLT1,4.367153,2,LYMPH
COLO668,4.163164,2,LUNG
CORL105,5.7010895,2,LUNG
CORL23,4.5796985,2,LUNG
CORL279,4.338369999999999,2,LUNG
CORL311,5.102432,1,LUNG
CORL88,5.1116744999999995,2,LUNG
CORL95,4.2768485,2,LUNG
DAUDI,4.418058,2,LYMPH
DB,3.9111955,2,LYMPH
DMS114,4.9896885,2,LUNG
DMS273,3.1966055,2,LUNG
DMS53,4.5778035,2,LUNG
DMS79,4.8694,2,LUNG
DND41,4.1795425,2,LYMPH
DOHH2,3.5954344999999996,2,LYMPH
EBC1,4.5001875,2,LUNG
EHEB,3.643614,1,LYMPH
EJM,4.5828655000000005,2,LYMPH
EM2,4.2879855,2,LYMPH
EPLC272H,5.125783500000001,2,LUNG
GA10,4.308578499999999,2,LYMPH
GDM1,4.914759999999999,2,LYMPH
GRANTA519,4.8434715,2,LYMPH
HARA,5.0053730000000005,2,LUNG
HCC15,5.499543,2,LUNG
HCC33,3.575608,1,LUNG
HCC366,4.4275935,2,LUNG
HCC44,4.818411,2,LUNG
HCC78,4.705613,2,LUNG
HCC827,5.860517,2,LUNG
HDLM2,4.441273,2,LYMPH
HEL,2.7808375,2,LYMPH
HH,5.497526499999999,2,LYMPH
HL60,4.7472525,2,LYMPH
HT,3.0873985,2,LYMPH
IALM,4.828875,2,LUNG
JEKO1,3.28129,2,LYMPH
JM1,3.2422205,2,LYMPH
JURKAT,4.374247499999999,2,LYMPH
JURLMK1,3.719014,2,LYMPH
JVM2,5.6349935,2,LYMPH
JVM3,3.270581,1,LYMPH
K562,4.6394785,2,LYMPH
KARPAS422,5.1243095,2,LYMPH
KCL22,4.2512585,2,LYMPH
KG1,4.580553,2,LYMPH
KMH2,4.3546545000000005,4,LYMPH
KMS11,3.117545,2,LYMPH
KMS12BM,4.399783,1,LYMPH
KNS62,4.159294,2,LUNG
KOPN8,4.816428,1,LYMPH
KU812,4.7400065,2,LYMPH
L1236,4.7378665,2,LYMPH
L363,4.0371925,2,LYMPH
L428,4.5465535,2,LYMPH
L540,2.9817175000000002,2,LYMPH
LAMA84,3.532649,2,LYMPH
LCLC103H,4.5305565,2,LUNG
LCLC97TM1,4.5539629999999995,2,LUNG
LOUCY,4.449184499999999,2,LYMPH
LOUNH91,4.0084855,2,LUNG
LP1,3.6124720000000003,2,LYMPH
LU65,6.10073,2,LUNG
LXF289,3.4978565,2,LUNG
ME1,5.052303,2,LYMPH
MEG01,4.685556,2,LYMPH
MHHCALL2,4.150326,2,LYMPH
MM1S,3.7882315,2,LYMPH
MOLM13,4.1426165,2,LYMPH
MOLM16,3.0580939999999996,2,LYMPH
MOLP8,3.9764850000000003,2,LYMPH
