std,Y,n,tissue
697,3.3878484999999996,2,LYMPH
A3KAW,3.253848,2,LYMPH
A4FUK,3.8779864999999996,2,LYMPH
A549,4.418895,2,LUNG
ABC1,6.062619,1,LUNG
ALLSIL,3.3482390000000004,2,LYMPH
AMO1,4.515818,3,LYMPH
BEN,3.8938235,2,LUNG
BL41,2.833466,2,LYMPH
BV173,1.978416,2,LYMPH
CA46,4.053314,2,LYMPH
CAL12T,3.9003065,2,LUNG
CALU3,5.284951,2,LUNG
CALU6,4.7045189999999995,2,LUNG
CHAGOK1,3.3020455,2,LUNG
CMK,2.518815,1,LYMPH
CMLT1,3.3340769999999997,2,LYMPH
COLO668,4.522231,2,LUNG
CORL105,5.151403999999999,2,LUNG
CORL23,3.0729705000000003,2,LUNG
CORL279,3.5167634999999997,2,LUNG
CORL311,4.957035,1,LUNG
CORL88,4.448738,2,LUNG
CORL95,4.5055155,2,LUNG
DAUDI,3.7090629999999996,2,LYMPH
DB,3.5907424999999997,2,LYMPH
DMS114,4.169518,2,LUNG
DMS273,3.621577,2,LUNG
DMS53,4.224692,2,LUNG
DMS79,4.683528000000001,2,LUNG
DND41,3.4575614999999997,2,LYMPH
DOHH2,2.9372835000000004,2,LYMPH
EBC1,4.747679,2,LUNG
EHEB,3.739104,1,LYMPH
EJM,3.8869475,2,LYMPH
EM2,3.675646,2,LYMPH
EPLC272H,3.0274095,2,LUNG
GA10,3.758711,2,LYMPH
GDM1,-1.194117,2,LYMPH
GRANTA519,4.2873015,2,LYMPH
HARA,3.8561984999999996,2,LUNG
HCC15,4.753035499999999,2,LUNG
HCC33,5.186104,1,LUNG
HCC366,4.5182265,2,LUNG
HCC44,3.7325725,2,LUNG
HCC78,3.9794445,2,LUNG
HCC827,6.582528,3,LUNG
HDLM2,4.261681,2,LYMPH
HEL,2.6927745,2,LYMPH
HH,4.5132495,2,LYMPH
HL60,3.0166225,2,LYMPH
HT,4.1315105,2,LYMPH
IALM,4.624623,2,LUNG
JEKO1,3.4923595,2,LYMPH
JM1,3.273021,2,LYMPH
JURKAT,3.13058,2,LYMPH
JURLMK1,3.040652,2,LYMPH
JVM2,3.612297,2,LYMPH
JVM3,3.8345059999999997,2,LYMPH
K562,4.296658,2,LYMPH
KARPAS422,3.6220255,2,LYMPH
KCL22,3.3582505,2,LYMPH
KG1,3.4046255,2,LYMPH
KMH2,3.18740591771314,5,LYMPH
KMS11,3.37232,2,LYMPH
KMS12BM,4.360505,1,LYMPH
KNS62,3.8126375,2,LUNG
KOPN8,3.102386,2,LYMPH
KU812,3.9441885,2,LYMPH
L1236,3.778668,2,LYMPH
L363,3.6413610000000003,2,LYMPH
L428,3.3523815,2,LYMPH
L540,3.8339989999999995,2,LYMPH
LAMA84,3.4021170000000005,2,LYMPH
LCLC103H,4.3792505,2,LUNG
LCLC97TM1,4.3530705,2,LUNG
LOUCY,3.721858,2,LYMPH
LOUNH91,3.9151599999999998,2,LUNG
LP1,3.9942140000000004,2,LYMPH
LU65,5.2432855,2,LUNG
LXF289,3.4324614999999996,2,LUNG
ME1,4.085336,2,LYMPH
MEG01,4.1518250000000005,2,LYMPH
MHHCALL2,1.332627,1,LYMPH
MM1S,3.6950765,2,LYMPH
MOLM13,2.22127,3,LYMPH
MOLM16,3.561821,2,LYMPH
MOLP8,3.7950035,2,LYMPH
