std,Y,n,tissue
697,0.435462,3,LYMPH
A3KAW,1.577834,3,LYMPH
A4FUK,4.088334,2,LYMPH
A549,4.347543,2,LUNG
ABC1,5.08321,2,LUNG
ALLSIL,2.8837390000000003,2,LYMPH
AMO1,2.441112,3,LYMPH
BEN,4.457855,2,LUNG
BL41,2.6653659999999997,2,LYMPH
BV173,1.0314705,2,LYMPH
CA46,3.543131,2,LYMPH
CAL12T,3.8292005,2,LUNG
CALU3,4.008077,2,LUNG
CALU6,4.090451,3,LUNG
CHAGOK1,4.142048,2,LUNG
CMK,3.104534,1,LYMPH
CMLT1,2.115429,3,LYMPH
COLO668,4.353455,3,LUNG
CORL105,3.946064,2,LUNG
CORL23,4.016203071690391,3,LUNG
CORL279,2.518013,2,LUNG
CORL311,2.384294,1,LUNG
CORL88,3.8726814999999997,2,LUNG
CORL95,3.764981,2,LUNG
DAUDI,3.8833655,2,LYMPH
DB,2.0890755,2,LYMPH
DMS114,4.1083575,2,LUNG
DMS273,4.761822,3,LUNG
DMS53,3.111904,3,LUNG
DMS79,2.8899675,2,LUNG
DND41,2.8135725000000003,2,LYMPH
DOHH2,1.972547,1,LYMPH
EBC1,3.6334020000000002,2,LUNG
EHEB,4.043865,1,LYMPH
EJM,3.8822020000000004,2,LYMPH
EM2,3.7163399999999998,2,LYMPH
EPLC272H,4.2943014999999995,2,LUNG
GA10,3.3098865,2,LYMPH
GDM1,2.546659,2,LYMPH
GRANTA519,3.7088835,2,LYMPH
HARA,3.307793,2,LUNG
HCC15,5.00441,3,LUNG
HCC33,4.591488,1,LUNG
HCC366,5.1284405,2,LUNG
HCC44,3.899711,2,LUNG
HCC78,4.1232489999999995,2,LUNG
HCC827,3.3828544999999997,2,LUNG
HDLM2,3.132035,2,LYMPH
HEL,3.3744115,2,LYMPH
HH,4.1731075,2,LYMPH
HL60,3.878568,2,LYMPH
HT,4.033127,3,LYMPH
IALM,4.617058,2,LUNG
JEKO1,3.6665865,2,LYMPH
JM1,3.0412125,2,LYMPH
JURKAT,3.69133,2,LYMPH
JURLMK1,3.2858625,2,LYMPH
JVM2,3.0033139999999996,2,LYMPH
JVM3,2.7493145,2,LYMPH
K562,3.7715855000000005,2,LYMPH
KARPAS422,4.2466795,2,LYMPH
KCL22,2.1401275,2,LYMPH
KG1,3.206105,2,LYMPH
KMH2,3.0323849999999997,4,LYMPH
KMS11,3.8843295,2,LYMPH
KMS12BM,3.5158375,2,LYMPH
KNS62,4.113245,2,LUNG
KOPN8,2.021752,1,LYMPH
KU812,3.1344845,2,LYMPH
L1236,3.8307095,2,LYMPH
L363,2.6675025000000003,2,LYMPH
L428,3.3453785,2,LYMPH
L540,3.652911,2,LYMPH
LAMA84,3.3341165,2,LYMPH
LCLC103H,3.0534365,2,LUNG
LCLC97TM1,3.2169299999999996,2,LUNG
LOUCY,2.168018,2,LYMPH
LOUNH91,4.2391185,2,LUNG
LP1,3.8948884999999995,2,LYMPH
LU65,4.5022744999999995,2,LUNG
LXF289,3.3932510000000002,2,LUNG
ME1,3.763774,2,LYMPH
MEG01,3.716152,2,LYMPH
MHHCALL2,2.845999,1,LYMPH
MM1S,3.1858899999999997,2,LYMPH
MOLM13,1.880415,3,LYMPH
MOLM16,2.636863,2,LYMPH
MOLP8,3.3832895,2,LYMPH
MOLT13,2.8523445,2,LYMPH
MOLT16,1.7673285,2,LYMPH
MONOMAC6,3.0838945,2,LYMPH
NALM6,2.823162,2,LYMPH
NAMALWA,3.198187,2,LYMPH
NB4,2.7546334999999997,2,LYMPH
NCIH1048,1.100936,3,LUNG
NCIH1092,5.193251999999999,2,LUNG
NCIH1105,4.263074,1,LUNG
NCIH1155,2.6534959999999996,2,LUNG
NCIH1341,4.197658,2,LUNG
NCIH1435,4.096098,2,LUNG
NCIH1436,3.8435355,2,LUNG
NCIH1437,2.7402115,2,LUNG
NCIH146,3.273296,2,LUNG
NCIH1568,4.639191,2,LUNG
NCIH1623,4.146476,2,LUNG
NCIH1648,3.574334,2,LUNG
NCIH1650,5.428509,2,LUNG
NCIH1651,1.2557033051710798,3,LUNG
NCIH1781,3.7587135,2,LUNG
NCIH1792,2.8555135,2,LUNG
NCIH1793,5.348244,2,LUNG
NCIH1836,5.005701500000001,2,LUNG
NCIH1876,2.050437,2,LUNG
NCIH1915,3.4020825,2,LUNG
NCIH1944,4.0648515,2,LUNG
NCIH196,4.174257,2,LUNG
NCIH1963,3.7060035,2,LUNG
NCIH1975,4.074942500000001,2,LUNG
NCIH2009,4.5919799999999995,2,LUNG
NCIH2023,4.5537795,2,LUNG
NCIH2029,4.0557514999999995,2,LUNG
NCIH2030,3.238447,2,LUNG
NCIH2066,5.430111500000001,2,LUNG
NCIH2081,3.336056,2,LUNG
NCIH2085,4.063256,2,LUNG
NCIH2087,5.732282,3,LUNG
NCIH209,0.306693,2,LUNG
NCIH211,2.7409274999999997,2,LUNG
NCIH2110,3.825608,2,LUNG
NCIH2122,3.3830489999999998,2,LUNG
NCIH2170,3.2059125,2,LUNG
NCIH2171,3.155018,1,LUNG
NCIH2172,4.4749175,2,LUNG
NCIH2196,4.6036,1,LUNG
NCIH2227,2.793704,2,LUNG
NCIH2228,4.565362,2,LUNG
NCIH2291,5.3862325,2,LUNG
NCIH23,3.292924,2,LUNG
NCIH2342,4.273185,2,LUNG
NCIH2347,4.6395230000000005,2,LUNG
NCIH2405,4.0086475,2,LUNG
NCIH2444,4.7744715,2,LUNG
NCIH292,2.9464094999999997,2,LUNG
NCIH358,4.0932580000000005,2,LUNG
NCIH441,5.2724565000000005,2,LUNG
NCIH446,3.451429,2,LUNG
NCIH460,1.426165,3,LUNG
NCIH522,3.660286,3,LUNG
NCIH524,2.4878415,2,LUNG
NCIH526,3.242637,2,LUNG
NCIH596,4.8183315,2,LUNG
NCIH647,2.9322619999999997,2,LUNG
NCIH650,4.292316,2,LUNG
NCIH661,3.562308,2,LUNG
NCIH69,3.746717,2,LUNG
NCIH727,4.083562,2,LUNG
NCIH810,3.1921305,2,LUNG
NCIH82,3.7723885,2,LUNG
NCIH838,3.6553080000000002,2,LUNG
NCIH841,3.973624,2,LUNG
NCIH929,3.1226265,2,LYMPH
NOMO1,3.140399,2,LYMPH
NUDUL1,2.5550545,2,LYMPH
OCIAML2,3.072373,3,LYMPH
OCIAML3,2.942447,2,LYMPH
OCIAML5,3.3503195000000003,2,LYMPH
OCILY19,2.0753430292643102,3,LYMPH
OCIM1,3.0791895,2,LYMPH
OPM2,3.446744,2,LYMPH
P12ICHIKAWA,3.588175,1,LYMPH
P31FUJ,3.07027,2,LYMPH
PF382,3.3003064999999996,2,LYMPH
PL21,4.3122095,2,LYMPH
RAJI,3.8239635,2,LYMPH
RCHACV,2.883451,3,LYMPH
REH,3.0595990000000004,2,LYMPH
RERFLCKJ,3.57465,3,LUNG
RERFLCMS,3.226724,3,LUNG
RL,3.8975524999999998,2,LYMPH
RPMI8226,3.2677845000000003,2,LYMPH
RPMI8402,2.8780775,2,LYMPH
RS411,2.7444990000000002,2,LYMPH
SBC5,3.3606115,2,LUNG
SHP77,2.460702,2,LUNG
SIGM5,2.447412,1,LYMPH
SKLU1,3.1831,1,LUNG
SKM1,3.1744585,2,LYMPH
SKMES1,3.248541,2,LUNG
SKMM2,4.41369,2,LYMPH
ST486,3.326233,1,LYMPH
SUDHL1,6.531480396654449,2,LYMPH
SUDHL10,2.6650855,2,LYMPH
SUDHL4,3.231672,2,LYMPH
SUDHL5,1.843785,2,LYMPH
SUDHL6,2.7953580000000002,2,LYMPH
SUDHL8,3.475762,3,LYMPH
SUPB15,0.8794875,2,LYMPH
SUPM2,2.038018,2,LYMPH
SUPT1,3.416062,2,LYMPH
SW1271,4.9204835,2,LUNG
SW1573,4.1467915,2,LUNG
THP1,4.115508,2,LYMPH
WSUDLCL2,3.4102085,2,LYMPH
